Company,Interview Questions,Date,Candidate,Offer?,Experience,Difficulty of Interview,How the candidate applied,Process,Who found review helpful
Apple,The asked a question about set cover.,"May 31, 2017","Anonymous Interview Candidate in Santa Clara, CA",No Offer,Negative Experience,Average Interview,"I applied through a recruiter. I interviewed at Apple (Santa Clara, CA) in Apr 2017","Internal Apple recruiter reached out to me on LinkedIn, and set up a a phone call between me and one of the team members. It was a technical phone screening. Then I moved on to the next phone screen with the team lead, which was another technical phone screen. Then another call with the recruiter to set up the onsite interview. The onsite interview consisted of a 40 minutes presentation which I prepared a lot for. I had 8 rounds of interviews in one day with 8 people form the team and other teams. Some interviews were technical and some behavioral. I was there onsite from 10AM with back-to-back interviews. The recruiting coordinator ""forgot"" to schedule a time for lunch. So I had to go through the day without eating until 5PM. Rooms were not reserved for some interviews and we had walk around to find an available room. It was a total mess. After 8 rounds of interviews and 40 minutes of presentation I was done. 
 
 
 
 After more than 1 month that I did not hear from them, I sent an email to them asking for some feedback. they said we are working on it and will get back to you. I again did not hear form them for another two weeks. So I sent another email again asking for feedback. Then the recruiter called me and said all the reviews were great, and all the candidates were good, it was a hard decision and we had to move forward with the candidate who go the highest score. 
 
 
 
 That's fine if you do not want to move forward with an applicant. But not giving them any feedback for more than one month, and blaming it on ""we are very busy, and have too much on our plates"" is not an acceptable excuse. Candidates spent days preparing for such interviews and it is very disrespectful not to even care to email them back with the decision. I am sure had I not emailed them, I would not have heard back for another month. very disrespectful!","13 people found this interview helpful
 Helpful
 Share
 Report"
Apple,My background and specially internship experiences,"Nov 10, 2015","Anonymous Employee in Cupertino, CA",Accepted Offer,Neutral Experience,Difficult Interview,"I applied through an employee referral. The process took 4 weeks. I interviewed at Apple (Cupertino, CA) in Sep 2014","16 people interviewed me in two days!! That was crazy! A variety of questions were asked, from teasers, programming questions to statistical questions. I liked how smart interviewers were.","4 people found this interview helpful
 Helpful
 Share
 Report"
Apple,"How do you take millions of users with 100's of transactions each, amongst 10k's of products and group the users together in a meaningful segments?",6-Nov-13,"Anonymous Employee in Cupertino, CA",Accepted Offer,Positive Experience,Difficult Interview,"I applied through a recruiter. The process took 4 weeks. I interviewed at Apple (Cupertino, CA) in Jan 2013","Started with 2-3 phone screens after being contacted initially by a recruiter internal to Apple. They then brought me on-site to the Cupertino, CA campus to meet 5 interviewers, which varied from programmers, data scientists, to managers and directors. The interview on-ste consisted of general knowledge questions regarding programming and statistics/math. There was an example of how to model certain data sets.",21 people found this interview helpful
Microsoft,I was not allowed to share,"Feb 28, 2023",Anonymous Interview Candidate,Declined Offer,Positive Experience,Average Interview,I interviewed at Microsoft,Microsoft interview was held remotely and involved a super day of 4 back to back data science case studies. Each interviewer was thorough and appreciated concise answers. Very nice company culture,"Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,What did you learn in the college,"Feb 14, 2023",Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I interviewed at Microsoft,"Ask me questions and have a 2hours Zoom meeting. The interviewer asks me three technical questions about data science, such as what are the ways to minimize residuals on a different statistical model","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,Build a machine learning model with best performance that you can achieve,"Sep 2, 2022",Anonymous Interview Candidate,Declined Offer,Positive Experience,Average Interview,I interviewed at Microsoft,You recieve a email with the description and data that defines a machine learning problem of imbalaced classes to be resolved. You have a couple of hour to resolve and send back the email with the anwser.,"Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,"leetcode questions involved statistics and probability
 and data science design questions","Jul 5, 2022",Anonymous Employee,Accepted Offer,Negative Experience,Difficult Interview,I interviewed at Microsoft,"about six or seven interviews 
 with one of them being HR
 and the rest are algo/design questions
 the process organized very well and each phase you have time to prepare","2 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,Spiral Matrix I leet code,"Jun 15, 2022",Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I interviewed at Microsoft,"Consisted of two months roughly. 1 behavioral interview, 2 coding interviews. Questions were leet code easy-medium. Overall good interview process, quick response and feedback. This was a remote contractor position, and was relatively easier that the onsite","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,How to improve model performance in one of resume project.,"May 30, 2022",Anonymous Interview Candidate,No Offer,Neutral Experience,Difficult Interview,I interviewed at Microsoft,"10 min go through the resume, 20 min of technical questions and 30 min coding. Technical questions including a case study, which is building a machine learning model from scratch.","2 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,"General questions about data science, and case studies","May 19, 2022",Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,I interviewed at Microsoft,"I first had a screening HR interview, then a phone interview with the team leader, then 1 hour data science interview, then an interview with higher manager and then HR again.","1 person found this interview helpful
 Helpful
 Share
 Report"
Microsoft,Data structures e algorithms abbastanza difficili.,"May 3, 2022",Anonymous Interview Candidate,No Offer,Positive Experience,Difficult Interview,I interviewed at Microsoft,"Live programming in call con coach aziendale. Domande principali su algoritmi e data structures specialmente teoriche, abbastanza accademiche. Durata abbastanza lunga e intervistatore tutto sommato cordiale, ma molto puntiglioso. Alla fine c'è un po' di feedback.","1 person found this interview helpful
 Helpful
 Share
 Report"
Microsoft,Tell me about the time that you lead a team on your own,"Nov 27, 2022",Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I applied through an employee referral. The process took 5 weeks. I interviewed at Microsoft in May 2022,Very Smooth. Initial phone screening interviews and then they conducted 4 rounds of final interviews. All of the team members are nice. I enjoy the whole communication process. The hiring manager is great.,"Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,"hypothesis test
 review of resume
 machine learning models
 boosting and bagging","Apr 11, 2022",Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I interviewed at Microsoft,"There are 4 rounds of video interviews, including probability and stats, machine learning, coding, and resume review. HR rejected in two days. The whole process was very quick and efficient.","7 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,No technical questions were asked.,"Mar 29, 2022",Anonymous Interview Candidate,No Offer,Neutral Experience,Easy Interview,I applied online. I interviewed at Microsoft,"First is the phone screening interview, approximately 30 minutes. The interview was conducted in Hebrew. 
 
 We covered the following topics: relevant background, job description, work dynamics, reasons I want to work in Microsoft.","3 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,Data Scientist core questions related to feild.,"Aug 28, 2022","Anonymous Interview Candidate in Washington, DC",No Offer,Positive Experience,Difficult Interview,"I applied online. The process took 4 weeks. I interviewed at Microsoft (Washington, DC) in Apr 2022",Have a difficult to manage all questios to answer.Its difficult question s to core feild. I think alot of expertise required to crack it all.I Think must be prepared to all aspects to give ln interview process all the thinks matter like communication skills to technical skills should me prepared in all aspects.,"Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,"Which anomalies can you find?
 
 Any patterns which came by?","Feb 9, 2022",Anonymous Interview Candidate,No Offer,Neutral Experience,Difficult Interview,I applied online. I interviewed at Microsoft,"Interview process consisted of 5 day data insights test, you are given a huge db and you can choose preferred language to wrangle some data. They didn't specify any problem to solve, just to demystify if there are any specific insights which you could underline","2 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,Codificar em tempo real a solucao de um problema de otimizacao simples (ajustar pontos em uma reta por exemplo),"Jan 10, 2022",Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I interviewed at Microsoft,"Em geral, considerei bem justo com o job description. As perguntas sao bem voltadas pela experiencia que voce descreve em seu curriculo. Sao normalmente 3 entrevistas tecnicas uma seguida da outra.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,Code a spiral within a grid,"Nov 5, 2021",Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I interviewed at Microsoft,I was interviewed as part of the college recruitment process. The interviews consisted of 3 rounds and were mostly the type of questions that you would find on Cracking the Coding Interview.,"6 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,"challenging questions about FP, TP, FN, TN","Dec 23, 2021",Anonymous Interview Candidate,No Offer,Positive Experience,Difficult Interview,I applied online. I interviewed at Microsoft in Nov 2021,"I applied online then Recruiter emailed, then one day interview, 3 technical coding interview and one manager interview. All share a page for coding. 
 
 I did not hear back from them about acceptance or rejecting. 
 
 Overlly smooth process with long time waiting for response. Many open ended questions such as how to get the results for image searching in Bing better","4 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,Coding question and MCQ on machine learning,"Nov 27, 2021",Anonymous Interview Candidate in Roorkee,No Offer,Neutral Experience,Difficult Interview,I applied through college or university. I interviewed at Microsoft (Roorkee) in Nov 2021,"First Round : online test
 2 coding questions on python related to Natural Language Processing.
 10 Multiple Choice questions on Machine Learning 
 Time: 2 hrs.
 
 7 people were selected for interview round.
 
 Second Round: Personal Interview","1 person found this interview helpful
 Helpful
 Share
 Report"
Microsoft,The interviewer asked about how I approach designing a system for Bing image search.,"Oct 11, 2021",Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I interviewed at Microsoft,"Started with 1 round of behavioral and preliminary questions about basic ML and Data Science. 
 After that, I got an invitation for a full-day interview (4 rounds of more in-depth questions in the areas of algorithms, machine learning, and system design)","4 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,"One thing asked during this interview was my experience with NLP mechanisms, including recommender systems.","Oct 17, 2021",Anonymous Interview Candidate,No Offer,Neutral Experience,Difficult Interview,I interviewed at Microsoft,It started with a standard screening and moved on to a more technical interview including coding and ML conceptual questions. I was asked to answer conceptual questions on topics such as Random Forest and XGBoost.,"1 person found this interview helpful
 Helpful
 Share
 Report"
Microsoft,Not much coding but talk about models/data,"Oct 13, 2021",Anonymous Interview Candidate,No Offer,Positive Experience,Easy Interview,I interviewed at Microsoft,1 phone + 1 final. Took about 1 month in between. Final had 4 rounds all very short. Interviewers super nice and really enjoyed the rounds. Looks to be team specific,"1 person found this interview helpful
 Helpful
 Share
 Report"
Microsoft,"a set of questions. some of them were multiple choice questions and two programming questions.
 
 Multiple choice questions were around theories but the programming was EDA and finding patterns.
 
 The time was more than enough to answer.","Oct 2, 2021",Anonymous Interview Candidate,No Offer,Positive Experience,Difficult Interview,I interviewed at Microsoft,"I applied to their job ad on Linkedin. 
 
 A recruiter contacted and sent me a link to do a test.
 
 The test was almost 3 hours.
 
 I did not pass the this test so I cannot explain more.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,"¿Te has encontrado con un problema de inclusión social en ambiente laboral? (explicación, solución)","Apr 4, 2022",Anonymous Interview Candidate in Madrid,No Offer,Positive Experience,Difficult Interview,I applied through other source. The process took 2 weeks. I interviewed at Microsoft (Madrid) in Sep 2021,"Entrevista muy completa tanto en contenido técnico como en valores y habilidades. 
 
 Dos fases: la primera consiste en una elaboración de un case study con presentación de 10/15 minutos al team. Discusión del argumento y bastantes preguntas técnicas.
 
  
 
 Entrevista con el manager y/o project manager con presentación y evaluación de aspectos más humanos y de experiencia.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,What is a P-value? How would you explain p-value to a non-technical person on the team?,"Oct 4, 2021",Anonymous Interview Candidate,No Offer,Negative Experience,Easy Interview,I applied through an employee referral. I interviewed at Microsoft in Aug 2021,"First interview was with the hiring manager then had another technical interview with a team member..
 
 During the technical interview the team member asked me few questions about sorting algorithms and then some basic statistics questions.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,Q: What are the difficulties faced when you have a model with a lot of layers.,"Aug 4, 2021",Anonymous Interview Candidate in New Delhi,No Offer,Positive Experience,Difficult Interview,I applied through college or university. I interviewed at Microsoft (New Delhi) in Aug 2021,"There was one coding round where we had to do some PCA along with some MCQs. And then an interview round which was related to scores, different types of methods and other issues faced while building a model.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,Recommendation system design and improvement,"Jul 22, 2021",Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I interviewed at Microsoft,"I interviewd during a hiring event. After a coding online assesment with 2 questions, I interviewd onsite (microsoft teams) with four members of the team. Unfortunately I didn't receive an offer.","1 person found this interview helpful
 Helpful
 Share
 Report"
Microsoft,Question about overfitting and underfitting.,"Jul 2, 2021",Anonymous Interview Candidate,Declined Offer,Negative Experience,Difficult Interview,I interviewed at Microsoft,The interview process was very haphazard. Took about 6 months with HR disappearing for 3 months in between. 5 rounds with 1 round for HR. Mainly asked about machine learning questions and data science questions. p,"2 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,Explain the key difference between multi-dimensional and tabular models? Which model is supported by Azure analysis services?,"Feb 12, 2021","Anonymous Interview Candidate in Los Angeles, CA",No Offer,Neutral Experience,Difficult Interview,"I applied online. I interviewed at Microsoft (Los Angeles, CA)","Initial email request , scheduled 1hr video interview using MS team with a hiring manager, in a week. Starts with manager's introduction, then my intro info. Explanation of the process, coding using codility.com and rdrr.io online platforms.","44 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,Questions mainly on project work and domain knowledge,"Apr 27, 2021",Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,I interviewed at Microsoft,4 rounds of interviews were scheduled. First was a technical round followed by managerial/behavioral followed by technical again. All of the interviewers were friendly. The 4th round was canceled for some reason. Then I got a call from the hiring team that I have been rejected. I asked for a feedback because I thought all the interviews went well but didn't receive any.,"1 person found this interview helpful
 Helpful
 Share
 Report"
Microsoft,"Questions around trees - bagging, boosting","Mar 29, 2021",Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied through a recruiter. The process took 4 weeks. I interviewed at Microsoft,"The interviews were based around core concepts. There were four rounds. First two technical, third with hiring manager and last with Practice Lead. The interviewers were very calm and interacts were a great learning experience","7 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,"Basic probability and statistics, some programming.","Mar 21, 2021",Anonymous Interview Candidate,Declined Offer,Positive Experience,Easy Interview,I interviewed at Microsoft,Phone interview followed by onsite interview. Recruiter was super nice and the onsite interviewers as well. Had fun socializing with other candidates and getting to know the company better. Overall a great experience.,"Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,What is an attention model?,"Feb 22, 2021",Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I interviewed at Microsoft,"1st round is a 30 minutes interview with a Data Scientist at Microsoft. (Background check and technical question)
 The final round consists of 4 interviews and each is about 45 minutes. It covers topic like coding questions, case studies, and stats,","5 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,"python coding focused on search and text manipualtion
 
 SQL","Mar 28, 2021","Anonymous Interview Candidate in Vancouver, BC",No Offer,Neutral Experience,Average Interview,"I applied through a recruiter. I interviewed at Microsoft (Vancouver, BC) in Feb 2021","I was contacted by Microsoft recruiting team , started with phone screening, followed with 4 round of technical coding mixed with behavioural questions. overally not bad, however, I realized that interviewers somehow were not professional, mostly jut trying to pass the time, like they already had made their decision","3 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,"Given pairs of characters, judge if all the characters could be split into two sets that the graph is a barpartite","Jan 24, 2021",Anonymous Interview Candidate,No Offer,Positive Experience,Easy Interview,I interviewed at Microsoft,"I was an intern there. One of my boss gave the interview. He asked about my experience and then let me code in another platform. He muted himself while I was coding. I described my thoughts at first, which is a bfs and barpartite problem. He confirmed and I designed the api and start coding. While finished he reviewed my code and gave positive feedback.","1 person found this interview helpful
 Helpful
 Share
 Report"
Microsoft,What was your prior experience on data science?,"Jan 23, 2021",Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I interviewed at Microsoft,"Very professional, friendly and welcoming . The schedule was very clearly communicated beforehand. So no surprises. Interviewers are friendly and truly passionate about their work. The questions are moderately difficult.","1 person found this interview helpful
 Helpful
 Share
 Report"
Microsoft,When do you choose to use neural network versus SVM?,"Oct 8, 2021",Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,I applied through college or university. The process took 2 weeks. I interviewed at Microsoft in Jan 2021,Interview for an internship position. The interview lasts for 1 hour. The interviewer presents a dataset in .csv format and ask about feature engineering and model selection process. Which feature to select? How to build the feature? What time interval to use?,"2 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,"Q. Given a user calling another user on a video call platform, how would you account for the cases where user 1 missed call 2 and vice versa.","Mar 9, 2023",Anonymous Employee,Accepted Offer,Positive Experience,Difficult Interview,The process took 2 weeks. I interviewed at Microsoft in Jan 2021,"4 rounds on same day. 1,2,3 pure technical on the data science related questions like based on case studies, previous projects and some based on SQL. 4 Hiring manager round with few technical questions and role related discussion.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,Question examples: how do you deal with conflicts from your manager?,"Nov 4, 2022",Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Microsoft in Jan 2021,Two rounds. Lots of behavioural questions and past experience. Two by teammates three by management. Easy to pass if you are a cultural fit. Question examples: how do you deal with conflicts from your manager?,"Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,How to compose the pipeline of obtaining data of VM,"Mar 14, 2022",Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 6 months. I interviewed at Microsoft in Jan 2021,"Two rounds. Talked about VM information and research. Also asked me some things about energy and VM's connection. After two rounds, I got the intern offer. It is research-ori intern and maybe not a general process.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,Describe your experiences and interest in data science,"Dec 13, 2020",Anonymous Interview Candidate,No Offer,Neutral Experience,Easy Interview,I applied through college or university. I interviewed at Microsoft,"Describe your experiences and interest in data science . 
 
 There is not much to say apart from this. For the first round do your due diligence on ML algorithms and where your interest lie","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,How do you calculate auc?,"Jan 19, 2021","Anonymous Interview Candidate in Vancouver, BC",No Offer,Neutral Experience,Average Interview,"I applied through a recruiter. The process took 5 days. I interviewed at Microsoft (Vancouver, BC) in Dec 2020",The first-round includes some data wrangling questions and a stat question. All coding requires lots of comments on why you did what. I finished both questions but they still said that there's a bug with my code even though it passes all the test and that they don't undetstand why I calculate my stat question even though I explain the whole reasons behind the calculation. Vague feedback.,"2 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,I was not allowed to share,"Feb 28, 2023",Anonymous Interview Candidate,Declined Offer,Positive Experience,Average Interview,I interviewed at Microsoft,Microsoft interview was held remotely and involved a super day of 4 back to back data science case studies. Each interviewer was thorough and appreciated concise answers. Very nice company culture,"Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,What did you learn in the college,"Feb 14, 2023",Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I interviewed at Microsoft,"Ask me questions and have a 2hours Zoom meeting. The interviewer asks me three technical questions about data science, such as what are the ways to minimize residuals on a different statistical model","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,Build a machine learning model with best performance that you can achieve,"Sep 2, 2022",Anonymous Interview Candidate,Declined Offer,Positive Experience,Average Interview,I interviewed at Microsoft,You recieve a email with the description and data that defines a machine learning problem of imbalaced classes to be resolved. You have a couple of hour to resolve and send back the email with the anwser.,"Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,"leetcode questions involved statistics and probability
 and data science design questions","Jul 5, 2022",Anonymous Employee,Accepted Offer,Negative Experience,Difficult Interview,I interviewed at Microsoft,"about six or seven interviews 
 with one of them being HR
 and the rest are algo/design questions
 the process organized very well and each phase you have time to prepare","2 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,Spiral Matrix I leet code,"Jun 15, 2022",Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I interviewed at Microsoft,"Consisted of two months roughly. 1 behavioral interview, 2 coding interviews. Questions were leet code easy-medium. Overall good interview process, quick response and feedback. This was a remote contractor position, and was relatively easier that the onsite","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,How to improve model performance in one of resume project.,"May 30, 2022",Anonymous Interview Candidate,No Offer,Neutral Experience,Difficult Interview,I interviewed at Microsoft,"10 min go through the resume, 20 min of technical questions and 30 min coding. Technical questions including a case study, which is building a machine learning model from scratch.","2 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,"General questions about data science, and case studies","May 19, 2022",Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,I interviewed at Microsoft,"I first had a screening HR interview, then a phone interview with the team leader, then 1 hour data science interview, then an interview with higher manager and then HR again.","1 person found this interview helpful
 Helpful
 Share
 Report"
Microsoft,Data structures e algorithms abbastanza difficili.,"May 3, 2022",Anonymous Interview Candidate,No Offer,Positive Experience,Difficult Interview,I interviewed at Microsoft,"Live programming in call con coach aziendale. Domande principali su algoritmi e data structures specialmente teoriche, abbastanza accademiche. Durata abbastanza lunga e intervistatore tutto sommato cordiale, ma molto puntiglioso. Alla fine c'è un po' di feedback.","1 person found this interview helpful
 Helpful
 Share
 Report"
Microsoft,Tell me about the time that you lead a team on your own,"Nov 27, 2022",Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I applied through an employee referral. The process took 5 weeks. I interviewed at Microsoft in May 2022,Very Smooth. Initial phone screening interviews and then they conducted 4 rounds of final interviews. All of the team members are nice. I enjoy the whole communication process. The hiring manager is great.,"Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,"hypothesis test
 review of resume
 machine learning models
 boosting and bagging","Apr 11, 2022",Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I interviewed at Microsoft,"There are 4 rounds of video interviews, including probability and stats, machine learning, coding, and resume review. HR rejected in two days. The whole process was very quick and efficient.","7 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,No technical questions were asked.,"Mar 29, 2022",Anonymous Interview Candidate,No Offer,Neutral Experience,Easy Interview,I applied online. I interviewed at Microsoft,"First is the phone screening interview, approximately 30 minutes. The interview was conducted in Hebrew. 
 
 We covered the following topics: relevant background, job description, work dynamics, reasons I want to work in Microsoft.","3 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,Data Scientist core questions related to feild.,"Aug 28, 2022","Anonymous Interview Candidate in Washington, DC",No Offer,Positive Experience,Difficult Interview,"I applied online. The process took 4 weeks. I interviewed at Microsoft (Washington, DC) in Apr 2022",Have a difficult to manage all questios to answer.Its difficult question s to core feild. I think alot of expertise required to crack it all.I Think must be prepared to all aspects to give ln interview process all the thinks matter like communication skills to technical skills should me prepared in all aspects.,"Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,"Which anomalies can you find?
 
 Any patterns which came by?","Feb 9, 2022",Anonymous Interview Candidate,No Offer,Neutral Experience,Difficult Interview,I applied online. I interviewed at Microsoft,"Interview process consisted of 5 day data insights test, you are given a huge db and you can choose preferred language to wrangle some data. They didn't specify any problem to solve, just to demystify if there are any specific insights which you could underline","2 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,Codificar em tempo real a solucao de um problema de otimizacao simples (ajustar pontos em uma reta por exemplo),"Jan 10, 2022",Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I interviewed at Microsoft,"Em geral, considerei bem justo com o job description. As perguntas sao bem voltadas pela experiencia que voce descreve em seu curriculo. Sao normalmente 3 entrevistas tecnicas uma seguida da outra.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,Code a spiral within a grid,"Nov 5, 2021",Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I interviewed at Microsoft,I was interviewed as part of the college recruitment process. The interviews consisted of 3 rounds and were mostly the type of questions that you would find on Cracking the Coding Interview.,"6 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,"challenging questions about FP, TP, FN, TN","Dec 23, 2021",Anonymous Interview Candidate,No Offer,Positive Experience,Difficult Interview,I applied online. I interviewed at Microsoft in Nov 2021,"I applied online then Recruiter emailed, then one day interview, 3 technical coding interview and one manager interview. All share a page for coding. 
 
 I did not hear back from them about acceptance or rejecting. 
 
 Overlly smooth process with long time waiting for response. Many open ended questions such as how to get the results for image searching in Bing better","4 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,Coding question and MCQ on machine learning,"Nov 27, 2021",Anonymous Interview Candidate in Roorkee,No Offer,Neutral Experience,Difficult Interview,I applied through college or university. I interviewed at Microsoft (Roorkee) in Nov 2021,"First Round : online test
 2 coding questions on python related to Natural Language Processing.
 10 Multiple Choice questions on Machine Learning 
 Time: 2 hrs.
 
 7 people were selected for interview round.
 
 Second Round: Personal Interview","1 person found this interview helpful
 Helpful
 Share
 Report"
Microsoft,The interviewer asked about how I approach designing a system for Bing image search.,"Oct 11, 2021",Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I interviewed at Microsoft,"Started with 1 round of behavioral and preliminary questions about basic ML and Data Science. 
 After that, I got an invitation for a full-day interview (4 rounds of more in-depth questions in the areas of algorithms, machine learning, and system design)","4 people found this interview helpful
 Helpful
 Share
 Report"
Microsoft,"One thing asked during this interview was my experience with NLP mechanisms, including recommender systems.","Oct 17, 2021",Anonymous Interview Candidate,No Offer,Neutral Experience,Difficult Interview,I interviewed at Microsoft,It started with a standard screening and moved on to a more technical interview including coding and ML conceptual questions. I was asked to answer conceptual questions on topics such as Random Forest and XGBoost.,"1 person found this interview helpful
 Helpful
 Share
 Report"
Microsoft,Not much coding but talk about models/data,"Oct 13, 2021",Anonymous Interview Candidate,No Offer,Positive Experience,Easy Interview,I interviewed at Microsoft,1 phone + 1 final. Took about 1 month in between. Final had 4 rounds all very short. Interviewers super nice and really enjoyed the rounds. Looks to be team specific,"1 person found this interview helpful
 Helpful
 Share
 Report"
Microsoft,"a set of questions. some of them were multiple choice questions and two programming questions.
 
 Multiple choice questions were around theories but the programming was EDA and finding patterns.
 
 The time was more than enough to answer.","Oct 2, 2021",Anonymous Interview Candidate,No Offer,Positive Experience,Difficult Interview,I interviewed at Microsoft,"I applied to their job ad on Linkedin. 
 
 A recruiter contacted and sent me a link to do a test.
 
 The test was almost 3 hours.
 
 I did not pass the this test so I cannot explain more.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,"¿Te has encontrado con un problema de inclusión social en ambiente laboral? (explicación, solución)","Apr 4, 2022",Anonymous Interview Candidate in Madrid,No Offer,Positive Experience,Difficult Interview,I applied through other source. The process took 2 weeks. I interviewed at Microsoft (Madrid) in Sep 2021,"Entrevista muy completa tanto en contenido técnico como en valores y habilidades. 
 
 Dos fases: la primera consiste en una elaboración de un case study con presentación de 10/15 minutos al team. Discusión del argumento y bastantes preguntas técnicas.
 
  
 
 Entrevista con el manager y/o project manager con presentación y evaluación de aspectos más humanos y de experiencia.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,What is a P-value? How would you explain p-value to a non-technical person on the team?,"Oct 4, 2021",Anonymous Interview Candidate,No Offer,Negative Experience,Easy Interview,I applied through an employee referral. I interviewed at Microsoft in Aug 2021,"First interview was with the hiring manager then had another technical interview with a team member..
 
 During the technical interview the team member asked me few questions about sorting algorithms and then some basic statistics questions.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,Q: What are the difficulties faced when you have a model with a lot of layers.,"Aug 4, 2021",Anonymous Interview Candidate in New Delhi,No Offer,Positive Experience,Difficult Interview,I applied through college or university. I interviewed at Microsoft (New Delhi) in Aug 2021,"There was one coding round where we had to do some PCA along with some MCQs. And then an interview round which was related to scores, different types of methods and other issues faced while building a model.","Be the first to find this interview helpful
 Helpful
 Share
 Report"
Microsoft,Recommendation system design and improvement,"Jul 22, 2021",Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I interviewed at Microsoft,"I interviewd during a hiring event. After a coding online assesment with 2 questions, I interviewd onsite (microsoft teams) with four members of the team. Unfortunately I didn't receive an offer.","1 person found this interview helpful
 Helpful
 Share
 Report"
